,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,like,look,change,important,report,note,consider,response,debate,relationship,work,stand,great,recommendation,investigation
Topic 1,female,male,option,possible,confusion,access,applicant,prevent,biology,meaning,inconsistency,opposite,consistent,body,admit
Topic 2,meet,clear,public,provide,homophobia,past,term,equality,happy,duty,datum,come,incorrect,sector,error
Topic 3,characteristic,protect,gender,identity,define,information,discriminate,personal,reassignment,datum,sexual,orientation,category,process,special
Topic 4,gender,therapy,point,conversion,people,raise,issue,dysphoria,child,believe,respond,agree,need,grow,mean
Topic 5,equality,information,monitoring,process,application,note,recruitment,protect,discriminate,diversity,characteristic,policy,ensure,read,suggest
Topic 6,question,lead,birth,term,relate,confusing,protect,characteristic,gather,datum,female,contradictory,inconsistent,male,synonym
Topic 7,list,gender,term,word,rely,concept,review,correct,respond,wish,role,hold,aware,document,language
Topic 8,thank,support,today,conference,help,want,supporter,speak,love,event,year,lesbian,story,ticket,wonderful
Topic 9,good,duty,follow,need,collect,model,vital,regard,tribunal,appear,employment,hope,discrimination,public,clear
Topic 10,make,young,time,lesbian,know,homophobic,feel,think,child,article,year,tell,discuss,care,view
Topic 11,people,right,lesbian,woman,trans,bisexual,group,base,support,girl,attract,movement,biological,campaign,fight
